time,open,high,low,close
1778508300,153813,153825,153516,153777
1778508600,153754,153924,153629,153843
1778508900,153872,153901,153694,153901
1778509200,153918,154056,153892,154056
1778509500,154055,154066,153740,153740
1778509800,153770,153800,153513,153621
1778510100,153689,153900,153689,153865
1778510400,153817,153989,153817,153970
1778510700,153924,153966,153730,153809
1778511000,153764,153859,153750,153827
1778511300,153828,153828,153650,153716
1778511600,153716,153808,153657,153761
1778511900,153769,153878,153746,153855
1778512200,153850,153894,153811,153851
1778512500,153838,153999,153838,153982
1778512800,153955,154170,153955,154166
1778513100,154144,154160,153902,153930
1778513400,153997,153998,153932,153950
1778513700,153901,153901,153850,153883
1778514000,153885,153916,153838,153886
1778514300,153800,153898,153750,153898
1778514600,153828,153936,153828,153936
1778514900,153930,153965,153915,153965
1778515200,153955,154029,153950,154000
1778515500,153977,153977,153814,153814
1778515800,153823,153871,153762,153781
1778516100,153781,153781,153724,153738
1778516400,153738,153738,153686,153722
1778516700,153707,153725,153684,153722
1778517000,153739,153777,153662,153662
1778517300,153675,153675,153552,153607
1778517600,153644,153644,153254,153456
1778517900,153329,153496,153329,153468
1778518200,153468,153536,153430,153430
1778518500,153430,153466,153384,153450
1778518800,153470,153550,153470,153497
1778519100,153540,153599,153540,153599
1778519400,153577,153577,153469,153540
1778519700,153546,153546,153517,153528
1778520000,153596,153666,153596,153601
1778520300,153616,153626,153569,153573
1778520600,153513,153673,153513,153650
1778520900,153617,153662,153612,153655
1778521200,153656,153688,153628,153688
1778521500,153699,153700,153668,153673
1778521800,153698,153728,153632,153632
1778522100,153640,153750,153622,153750
1778556600,153999,154110,153851,154058
1778556900,154097,154243,154086,154243
1778557200,154200,154224,154037,154037
1778557500,154067,154074,153863,153959
1778557800,153959,154100,153959,154038
1778558100,154000,154000,153891,153940
1778558400,153970,154005,153888,153888
1778558700,153990,154024,153953,153974
1778559000,154014,154050,153953,153953
1778559300,153957,154200,153957,154150
1778559600,154135,154224,154114,154154
1778559900,154144,154144,154025,154027
1778560200,154015,154084,153965,154043
1778560500,154042,154131,154040,154100
1778560800,154127,154150,154040,154052
1778561100,154025,154048,153900,153901
1778561400,153901,154017,153771,153779
1778561700,153780,153901,153725,153785
1778562000,153785,153869,153733,153869
1778562300,153890,153894,153682,153682
1778562600,153660,153716,153606,153700
1778562900,153750,153832,153750,153768
1778563200,153799,153840,153799,153840
1778563500,153794,153833,153754,153774
1778563800,153783,153979,153783,153800
